Date,Sport_Group,Sport,Events,Medal_Ceremony,Venue,Latitude,Longitude
2021-07-21T01:00:00Z,Baseball/Softball,Baseball/Softball,Australia vs Japan,FALSE,Fukushima Azuma Baseball Stadium,37.72216480340486,140.3640114979229
2021-07-21T01:00:00Z,Baseball/Softball,Baseball/Softball,Italy vs United States,FALSE,Fukushima Azuma Baseball Stadium,37.72216480340486,140.3640114979229
2021-07-21T01:00:00Z,Baseball/Softball,Baseball/Softball,Mexico vs Canada,FALSE,Fukushima Azuma Baseball Stadium,37.72216480340486,140.3640114979229
2021-07-21T08:30:00Z,Football,Football,Women's Group E: Great Britain vs Chile,FALSE,Sapporo Dome,43.01517544330762,141.41041300340524
2021-07-21T08:30:00Z,Football,Football,Women's Group E: Japan vs Canada,FALSE,Sapporo Dome,43.01517544330762,141.41041300340524
2021-07-21T09:00:00Z,Football,Football,Women's Group F: China vs Brazil,FALSE,Miyagi Stadium,38.33557331725407,140.95096377309127
2021-07-21T09:00:00Z,Football,Football,Women's Group F: Zambia vs Netherlands,FALSE,Miyagi Stadium,38.33557331725407,140.95096377309127
2021-07-21T09:30:00Z,Football,Football,Women's Group G: Sweden vs United States,FALSE,Tokyo Stadium,35.66446761779039,139.52756286092847
2021-07-21T09:30:00Z,Football,Football,Women's Group G: Australia vs New Zealand,FALSE,Tokyo Stadium,35.66446761779039,139.52756286092847
2021-07-22T01:00:00Z,Baseball/Softball,Baseball/Softball,United States vs Canada,FALSE,Fukushima Azuma Baseball Stadium,37.72216480340486,140.3640114979229
2021-07-22T01:00:00Z,Baseball/Softball,Baseball/Softball,Mexico vs Japan,FALSE,Fukushima Azuma Baseball Stadium,37.72216480340486,140.3640114979229
2021-07-22T01:00:00Z,Baseball/Softball,Baseball/Softball,Italy vs Australia,FALSE,Fukushima Azuma Baseball Stadium,37.72216480340486,140.3640114979229
2021-07-22T08:30:00Z,Football,Football,Men's Group C: Egypt vs Spain,FALSE,Sapporo Dome,43.01517544330762,141.41041300340524
2021-07-22T08:30:00Z,Football,Football,Men's Group C: Argentina vs Australia,FALSE,Sapporo Dome,43.01517544330762,141.41041300340524
2021-07-22T09:00:00Z,Football,Football,Men's Group B: New Zealand vs Republic of Korea,FALSE,Ibaraki Kashima Stadium,35.99213056967567,140.64152126184229
2021-07-22T09:00:00Z,Football,Football,Men's Group C: Honduras vs Romania,FALSE,Ibaraki Kashima Stadium,35.99213056967567,140.64152126184229
2021-07-22T09:00:00Z,Football,Football,Men's Group A: Mexico vs France,FALSE,Tokyo Stadium,35.66446761779039,139.52756286092847
2021-07-22T09:00:00Z,Football,Football,Men's Group A: Japan vs South Africa,FALSE,Tokyo Stadium,35.66446761779039,139.52756286092847
2021-07-22T09:30:00Z,Football,Football,Men's Group D: Côte d'Ivoire vs Saudi Arabia,FALSE,Ibaraki Kashima Stadium,35.99213056967567,140.64152126184229
2021-07-22T09:30:00Z,Football,Football,Men's Group D: Brazil vs Germany,FALSE,Ibaraki Kashima Stadium,35.99213056967567,140.64152126184229
2021-07-23T00:30:00Z,Rowing,Rowing,Men's Single Sculls Heats,FALSE,Sea Forest Waterway,35.60796457817903,139.8147625026683
2021-07-23T00:30:00Z,Rowing,Rowing,Women's Single Sculls Heats,FALSE,Sea Forest Waterway,35.60796457817903,139.8147625026683
2021-07-23T00:30:00Z,Rowing,Rowing,Men's Double Sculls Heats,FALSE,Sea Forest Waterway,35.60796457817903,139.8147625026683
2021-07-23T00:30:00Z,Rowing,Rowing,Women's Double Sculls Heats,FALSE,Sea Forest Waterway,35.60796457817903,139.8147625026683
2021-07-23T00:30:00Z,Rowing,Rowing,Men's Quadruple Sculls Heats,FALSE,Sea Forest Waterway,35.60796457817903,139.8147625026683
2021-07-23T00:30:00Z,Rowing,Rowing,Women's Quadruple Sculls Heats,FALSE,Sea Forest Waterway,35.60796457817903,139.8147625026683
2021-07-23T01:00:00Z,Archery,Archery,Women's Individual Ranking Round,FALSE,Yumenoshima Park Archery Field,35.65025376166539,139.82892847281852
2021-07-23T05:00:00Z,Archery,Archery,Men's Individual Ranking Round,FALSE,Yumenoshima Park Archery Field,35.65025376166539,139.82892847281852
2021-07-23T12:00:00Z,Opening Ceremony,Opening Ceremony,-,FALSE,Olympic Stadium,35.67786383266573,139.71366292613558
2021-07-24T00:30:00Z,Shooting,Shooting,10m Air Rifle Women's Qualification,FALSE,Asaka Shooting Range,35.7811380207295,139.58779467064903
2021-07-24T00:30:00Z,Shooting,Shooting,10m Air Rifle Women's Finals,FALSE,Asaka Shooting Range,35.7811380207295,139.58779467064903
2021-07-24T00:30:00Z,Shooting,Shooting,10m Air Rifle Women's Victory Ceremony,TRUE,Asaka Shooting Range,35.7811380207295,139.58779467064903
2021-07-24T00:30:00Z,Shooting,Shooting,10m Air Pistol Men's Qualification,FALSE,Asaka Shooting Range,35.7811380207295,139.58779467064903
2021-07-24T00:30:00Z,Shooting,Shooting,10m Air Pistol Men's Finals,FALSE,Asaka Shooting Range,35.7811380207295,139.58779467064903
2021-07-24T00:30:00Z,Rowing,Rowing,Women's Single Sculls Repechages,FALSE,Sea Forest Waterway,35.60796457817903,139.8147625026683
2021-07-24T00:30:00Z,Rowing,Rowing,Men's Single Sculls Repechages,FALSE,Sea Forest Waterway,35.60796457817903,139.8147625026683
2021-07-24T00:30:00Z,Rowing,Rowing,Women's Double Sculls Repechage,FALSE,Sea Forest Waterway,35.60796457817903,139.8147625026683
2021-07-24T00:30:00Z,Rowing,Rowing,Men's Double Sculls Repechage,FALSE,Sea Forest Waterway,35.60796457817903,139.8147625026683
2021-07-24T00:30:00Z,Rowing,Rowing,Women's Pair Heats,FALSE,Sea Forest Waterway,35.60796457817903,139.8147625026683
2021-07-24T00:30:00Z,Rowing,Rowing,Men's Pair Heats,FALSE,Sea Forest Waterway,35.60796457817903,139.8147625026683
2021-07-24T00:30:00Z,Rowing,Rowing,Lightweight Women's Double Sculls Heats,FALSE,Sea Forest Waterway,35.60796457817903,139.8147625026683
2021-07-24T00:30:00Z,Rowing,Rowing,Lightweight Men's Double Sculls Heats,FALSE,Sea Forest Waterway,35.60796457817903,139.8147625026683
2021-07-24T00:30:00Z,Rowing,Rowing,Women's Four Heats,FALSE,Sea Forest Waterway,35.60796457817903,139.8147625026683
2021-07-24T00:30:00Z,Rowing,Rowing,Men's Four Heats,FALSE,Sea Forest Waterway,35.60796457817903,139.8147625026683
2021-07-24T01:00:00Z,Badminton,Badminton,Men's Singles Group Play Stage,FALSE,Musashino Forest Sport Plaza,35.66516093172041,139.52508181634872
2021-07-24T01:00:00Z,Badminton,Badminton,Women's Singles Group Play Stage,FALSE,Musashino Forest Sport Plaza,35.66516093172041,139.52508181634872
2021-07-24T01:00:00Z,Badminton,Badminton,Men's Doubles Group Play Stage,FALSE,Musashino Forest Sport Plaza,35.66516093172041,139.52508181634872
2021-07-24T01:00:00Z,Badminton,Badminton,Women's Doubles Group Play Stage,FALSE,Musashino Forest Sport Plaza,35.66516093172041,139.52508181634872
2021-07-24T01:00:00Z,Badminton,Badminton,Mixed Doubles Group Play Stage,FALSE,Musashino Forest Sport Plaza,35.66516093172041,139.52508181634872
2021-07-24T01:00:00Z,Handball,Handball,Men's Preliminary Round Group A: Norway vs Brazil,FALSE,Yoyogi National Stadium,35.66773432212354,139.70019944667044
2021-07-24T01:00:00Z,Handball,Handball,Men's Preliminary Round Group A: France vs Argentina,FALSE,Yoyogi National Stadium,35.66773432212354,139.70019944667044
2021-07-24T01:00:00Z,Beach Volleyball,Beach Volleyball,Men's or Women's Preliminaries (4 matches),FALSE,Shiokaze Park,35.62426208355979,139.76843705331703
2021-07-24T01:00:00Z,Fencing,Fencing,Women's Epée Individual Table of 64,FALSE,Makuhari Messe Hall,35.64977449961884,140.03645074412134
2021-07-24T01:00:00Z,Fencing,Fencing,Men's Sabre Individual Table of 64,FALSE,Makuhari Messe Hall,35.64977449961884,140.03645074412134
2021-07-24T01:00:00Z,Fencing,Fencing,Women's Epée Individual Table of 32,FALSE,Makuhari Messe Hall,35.64977449961884,140.03645074412134
2021-07-24T01:00:00Z,Fencing,Fencing,Men's Sabre Individual Table of 32,FALSE,Makuhari Messe Hall,35.64977449961884,140.03645074412134
2021-07-24T01:00:00Z,Fencing,Fencing,Women's Epée Individual Table of 16,FALSE,Makuhari Messe Hall,35.64977449961884,140.03645074412134
2021-07-24T01:00:00Z,Fencing,Fencing,Men's Sabre Individual Table of 16,FALSE,Makuhari Messe Hall,35.64977449961884,140.03645074412134
2021-07-24T01:00:00Z,Fencing,Fencing,Women's Epée Individual Quarterfinals,FALSE,Makuhari Messe Hall,35.64977449961884,140.03645074412134
2021-07-24T01:00:00Z,Fencing,Fencing,Men's Sabre Individual Quarterfinals,FALSE,Makuhari Messe Hall,35.64977449961884,140.03645074412134
2021-07-24T01:00:00Z,Volleyball,Volleyball,Men's Preliminary Round Pool A: Italy vs Canada,FALSE,Ariake Arena,35.643512573489566,139.79473745950065
2021-07-24T01:00:00Z,Volleyball,Volleyball,Men's Preliminary Pool B: Brazil vs Tunisia,FALSE,Ariake Arena,35.643512573489566,139.79473745950065
2021-07-24T01:00:00Z,Table Tennis,Table Tennis,Men's Singles Preliminary Round,FALSE,Tokyo Metropolitan Gymnasium,35.679538129089025,139.71224149090568
2021-07-24T01:00:00Z,Table Tennis,Table Tennis,Women's Singles Preliminary Round,FALSE,Tokyo Metropolitan Gymnasium,35.679538129089025,139.71224149090568
2021-07-24T01:00:00Z,Table Tennis,Table Tennis,Mixed Doubles Round of 16,FALSE,Tokyo Metropolitan Gymnasium,35.679538129089025,139.71224149090568
2021-07-24T01:30:00Z,Archery,Archery,Mixed Team 1/8 Eliminations,FALSE,Yumenoshima Park Archery Field,35.65025376166539,139.82892847281852
2021-07-24T01:30:00Z,Hockey,Hockey,Men's Pool A: Japan vs Australia,FALSE,Oi Hockey Stadium,35.59269081886343,139.75405101776522
2021-07-24T01:30:00Z,Hockey,Hockey,Men's Pool B: Netherlands vs Belgium,FALSE,Oi Hockey Stadium,35.59269081886343,139.75405101776522
2021-07-24T01:50:00Z,Weightlifting,Weightlifting,Women's 49 kg Group B,FALSE,Tokyo International Forum,35.67697382447295,139.76380194086386
2021-07-24T02:00:00Z,Artistic Gymnastics,Artistic Gymnastics,Men's Qualification,FALSE,Ariake Gymnastics Centre,35.64167062421445,139.79257372832834
2021-07-24T02:00:00Z,Taekwondo,Taekwondo,Women -49 kg Round of 16 (8 matches),FALSE,Makuhari Messe Hall,35.64977449961884,140.03645074412134
2021-07-24T02:00:00Z,Taekwondo,Taekwondo,Men -58 kg Round of 16 (8 matches),FALSE,Makuhari Messe Hall,35.64977449961884,140.03645074412134
2021-07-24T02:00:00Z,Taekwondo,Taekwondo,Women -49 kg Quarterfinals (4 matches),FALSE,Makuhari Messe Hall,35.64977449961884,140.03645074412134
2021-07-24T02:00:00Z,Taekwondo,Taekwondo,Men -58 kg Quarterfinals (4 matches),FALSE,Makuhari Messe Hall,35.64977449961884,140.03645074412134
2021-07-24T02:00:00Z,Taekwondo,Taekwondo,Women -49 kg Semifinals (2 matches),FALSE,Makuhari Messe Hall,35.64977449961884,140.03645074412134
2021-07-24T02:00:00Z,Taekwondo,Taekwondo,Men -58 kg Semifinals (2 matches),FALSE,Makuhari Messe Hall,35.64977449961884,140.03645074412134
2021-07-24T02:00:00Z,Baseball/Softball,Baseball/Softball,Softball Opening Round: Australia vs Canada,FALSE,Yokohama Baseball Stadium,35.44332814187166,139.64046498472052
2021-07-24T02:00:00Z,Baseball/Softball,Baseball/Softball,Softball Opening Round: United States vs Mexico,FALSE,Yokohama Baseball Stadium,35.44332814187166,139.64046498472052
2021-07-24T02:00:00Z,Hockey,Hockey,Men's Pool A: New Zealand vs India,FALSE,Oi Hockey Stadium,35.59269081886343,139.75405101776522
2021-07-24T02:00:00Z,Hockey,Hockey,Men's Pool A: Argentina vs Spain,FALSE,Oi Hockey Stadium,35.59269081886343,139.75405101776522
2021-07-24T02:15:00Z,3x3 Basketball,3x3 Basketball,Women's Pool Round (2 games),FALSE,Aomi Urban Sports Park,35.62349586496833,139.7773659975334
2021-07-24T02:15:00Z,3x3 Basketball,3x3 Basketball,Men's Pool Round (2 games),FALSE,Aomi Urban Sports Park,35.62349586496833,139.7773659975334
2021-07-24T03:00:00Z,Boxing,Boxing,Women's Feather (54-57kg) - Preliminaries - Round of 32,FALSE,Kokugikan Arena,35.69708642863296,139.79336043405075
2021-07-24T03:00:00Z,Boxing,Boxing,Women's Welter (64-69kg) - Preliminaries - Round of 32,FALSE,Kokugikan Arena,35.69708642863296,139.79336043405075
2021-07-24T03:00:00Z,Boxing,Boxing,Men's Feather (52-57kg) - Preliminaries - Round of 32,FALSE,Kokugikan Arena,35.69708642863296,139.79336043405075
2021-07-24T03:00:00Z,Boxing,Boxing,Men's Welter (63-69kg) - Preliminaries - Round of 32,FALSE,Kokugikan Arena,35.69708642863296,139.79336043405075
2021-07-24T03:00:00Z,Boxing,Boxing,Men's Heavy (81-91kg) - Preliminaries - Round of 32,FALSE,Kokugikan Arena,35.69708642863296,139.79336043405075
2021-07-24T03:00:00Z,Judo,Judo,Women -48 kg Elimination Rounds,FALSE,Nippon Budokan,35.69328639505304,139.74961103902368
2021-07-24T03:00:00Z,Judo,Judo,Women -48 kg Quarterfinals,FALSE,Nippon Budokan,35.69328639505304,139.74961103902368
2021-07-24T03:00:00Z,Judo,Judo,Men -60 kg Elimination Rounds,FALSE,Nippon Budokan,35.69328639505304,139.74961103902368
2021-07-24T03:00:00Z,Judo,Judo,Men -60 kg Quarterfinals,FALSE,Nippon Budokan,35.69328639505304,139.74961103902368
2021-07-24T03:00:00Z,Cycling Road,Cycling Road,Men's Road Race,FALSE,Fuji international Speedway,NA,NA
2021-07-24T03:00:00Z,Tennis,Tennis,Men's Singles First Round,FALSE,Ariake Tennis Park,35.63522638292027,139.78961039488578
2021-07-24T03:00:00Z,Tennis,Tennis,Women's Singles First Round,FALSE,Ariake Tennis Park,35.63522638292027,139.78961039488578
2021-07-24T03:00:00Z,Tennis,Tennis,Men's Doubles First Round,FALSE,Ariake Tennis Park,35.63522638292027,139.78961039488578
2021-07-24T03:00:00Z,Tennis,Tennis,Women's Doubles First Round,FALSE,Ariake Tennis Park,35.63522638292027,139.78961039488578
2021-07-24T05:50:00Z,Weightlifting,Weightlifting,Women's 49 kg Group A,FALSE,Tokyo International Forum,35.67697382447295,139.76380194086386
2021-07-24T06:00:00Z,Water Polo,Water Polo,Women's Preliminary Round - Group B: Japan vs United States,FALSE,Tatsumi Water Polo Centre,35.647754733125474,139.8195228619168
2021-07-24T06:00:00Z,Water Polo,Water Polo,Women's Preliminary Round - Group A: Canada vs Australia,FALSE,Tatsumi Water Polo Centre,35.647754733125474,139.8195228619168
2021-07-24T06:00:00Z,3x3 Basketball,3x3 Basketball,Women's Pool Round (2 games),FALSE,Aomi Urban Sports Park,35.62349586496833,139.7773659975334
2021-07-24T06:00:00Z,3x3 Basketball,3x3 Basketball,Men's Pool Round (2 games),FALSE,Aomi Urban Sports Park,35.62349586496833,139.7773659975334
2021-07-24T06:15:00Z,Table Tennis,Table Tennis,Men's Singles Round 1,FALSE,Tokyo Metropolitan Gymnasium,35.679538129089025,139.71224149090568
2021-07-24T06:15:00Z,Table Tennis,Table Tennis,Women's Singles Round 1,FALSE,Tokyo Metropolitan Gymnasium,35.679538129089025,139.71224149090568
2021-07-24T06:20:00Z,Volleyball,Volleyball,Men's Preliminary Round - Pool B: ROC vs Argentina,FALSE,Ariake Arena,35.643512573489566,139.79473745950065
2021-07-24T06:20:00Z,Volleyball,Volleyball,Men's Preliminary Round - Pool A: Japan vs Venezuela,FALSE,Ariake Arena,35.643512573489566,139.79473745950065
2021-07-24T06:15:00Z,Handball,Handball,Men's Preliminary Round Group B: Sweden vs Bahrain,FALSE,Yoyogi National Stadium,35.66773432212354,139.70019944667044
2021-07-24T06:15:00Z,Handball,Handball,Men's Preliminary Round Group A: Germany vs Spain,FALSE,Yoyogi National Stadium,35.66773432212354,139.70019944667044
2021-07-24T06:15:00Z,Archery,Archery,Mixed Team: Quarterfinals,FALSE,Yumenoshima Park Archery Field,35.65025376166539,139.82892847281852
2021-07-24T06:15:00Z,Archery,Archery,Mixed Team: Semifinals,FALSE,Yumenoshima Park Archery Field,35.65025376166539,139.82892847281852
2021-07-24T06:15:00Z,Archery,Archery,Mixed Team: Bronze Medal Match,FALSE,Yumenoshima Park Archery Field,35.65025376166539,139.82892847281852
2021-07-24T06:15:00Z,Archery,Archery,Mixed Team: Gold Medal Match,TRUE,Yumenoshima Park Archery Field,35.65025376166539,139.82892847281852
2021-07-24T09:30:00Z,3x3 Basketball,3x3 Basketball,Women's Pool Round (2 games),FALSE,Aomi Urban Sports Park,35.62349586496833,139.7773659975334
2021-07-24T09:30:00Z,3x3 Basketball,3x3 Basketball,Men's Pool Round (2 games),FALSE,Aomi Urban Sports Park,35.62349586496833,139.7773659975334
2021-07-24T06:30:00Z,Artistic Gymnastics,Artistic Gymnastics,Men's Qualification,FALSE,Ariake Gymnastics Centre,35.64167062421445,139.79257372832834
2021-07-24T07:00:00Z,Beach Volleyball,Beach Volleyball,Men's or Women's Preliminaries (3 matches),FALSE,Shiokaze Park,35.62426208355979,139.76843705331703
2021-07-24T08:30:00Z,Football,Football,Women's Group E: Chile vs Canada,FALSE,Sapporo Dome,43.01517544330762,141.41041300340524
2021-07-24T08:30:00Z,Football,Football,Women's Group E: Japan vs Great Britain,FALSE,Sapporo Dome,43.01517544330762,141.41041300340524
2021-07-24T09:00:00Z,Boxing,Boxing,Women's Feather (54-57kg) - Preliminaries - Round of 32,FALSE,Kokugikan Arena,35.69708642863296,139.79336043405075
2021-07-24T09:00:00Z,Boxing,Boxing,Men's Feather (52-57kg) - Preliminaries - Round of 32,FALSE,Kokugikan Arena,35.69708642863296,139.79336043405075
2021-07-24T09:00:00Z,Boxing,Boxing,Men's Welter (63-69kg) - Preliminaries - Round of 32,FALSE,Kokugikan Arena,35.69708642863296,139.79336043405075
2021-07-24T09:00:00Z,Boxing,Boxing,Men's Super Heavy (+91kg) - Preliminaries - Round of 32,FALSE,Kokugikan Arena,35.69708642863296,139.79336043405075
2021-07-24T09:00:00Z,Judo,Judo,Women -48 kg Repechage,FALSE,Nippon Budokan,35.69328639505304,139.74961103902368
2021-07-24T09:00:00Z,Judo,Judo,Women -48 kg Semifinals,FALSE,Nippon Budokan,35.69328639505304,139.74961103902368
2021-07-24T09:00:00Z,Judo,Judo,Men -60 kg Repechage,FALSE,Nippon Budokan,35.69328639505304,139.74961103902368
2021-07-24T09:00:00Z,Judo,Judo,Men -60 kg Semifinals,FALSE,Nippon Budokan,35.69328639505304,139.74961103902368
2021-07-24T09:00:00Z,Judo,Judo,Women -48 kg Contests for Bronze Medal,FALSE,Nippon Budokan,35.69328639505304,139.74961103902368
2021-07-24T09:00:00Z,Judo,Judo,Women -48 kg Final,FALSE,Nippon Budokan,35.69328639505304,139.74961103902368
2021-07-24T09:00:00Z,Judo,Judo,Men -60 kg Contests for Bronze Medal,FALSE,Nippon Budokan,35.69328639505304,139.74961103902368
2021-07-24T09:00:00Z,Judo,Judo,Men -60 kg Final,FALSE,Nippon Budokan,35.69328639505304,139.74961103902368
2021-07-24T09:00:00Z,Equestrian,Equestrian,Dressage Grand Prix Team and Individual Day 1,FALSE,Equestrian Park,35.6369951864692,139.63364991415503
2021-07-24T09:00:00Z,Football,Football,Women's Group F: China vs Zambia,FALSE,Miyagi Stadium,38.33557331725407,140.95096377309127
2021-07-24T09:00:00Z,Football,Football,Women's Group F: Netherlands vs Brazil,FALSE,Miyagi Stadium,38.33557331725407,140.95096377309127
2021-07-24T09:30:00Z,Football,Football,Women's Group G: Sweden vs Australia,FALSE,Saitama Stadium,35.903408731875246,139.71816554795595
2021-07-24T09:30:00Z,Football,Football,Women's Group G: New Zealand vs United States,FALSE,Saitama Stadium,35.903408731875246,139.71816554795595
2021-07-24T10:00:00Z,Fencing,Fencing,Women's Epée Individual Semifinals,FALSE,Makuhari Messe Hall,35.64977449961884,140.03645074412134
2021-07-24T10:00:00Z,Fencing,Fencing,Men's Sabre Individual Semifinals,FALSE,Makuhari Messe Hall,35.64977449961884,140.03645074412134
2021-07-24T10:00:00Z,Fencing,Fencing,Women's Epée Individual Bronze Medal Bout,FALSE,Makuhari Messe Hall,35.64977449961884,140.03645074412134
2021-07-24T10:00:00Z,Badminton,Badminton,Men's Singles Group Play Stage,FALSE,Musashino Forest Sport Plaza,35.66516093172041,139.52508181634872
2021-07-24T10:00:00Z,Badminton,Badminton,Women's Singles Group Play Stage,FALSE,Musashino Forest Sport Plaza,35.66516093172041,139.52508181634872
2021-07-24T10:00:00Z,Badminton,Badminton,Men's Doubles Group Play Stage,FALSE,Musashino Forest Sport Plaza,35.66516093172041,139.52508181634872
2021-07-24T10:00:00Z,Badminton,Badminton,Women's Doubles Group Play Stage,FALSE,Musashino Forest Sport Plaza,35.66516093172041,139.52508181634872
2021-07-24T10:00:00Z,Badminton,Badminton,Mixed Doubles Group Play Stage,FALSE,Musashino Forest Sport Plaza,35.66516093172041,139.52508181634872
2021-07-24T10:20:00Z,Water Polo,Water Polo,Women's Preliminary Round - Group A: South Africa vs Spain,FALSE,Tatsumi Water Polo Centre,35.647754733125474,139.8195228619168
2021-07-24T10:20:00Z,Water Polo,Water Polo,Women's Preliminary Round - Group B: China vs ROC,FALSE,Tatsumi Water Polo Centre,35.647754733125474,139.8195228619168
